lat,lon,model,snw_trend_pct
29.0,-107.0,IPSL-CM6A-LR_r1i1p1f1,0.019642341567473437
29.0,-107.0,MRI-ESM2-0_r1i1p1f1,-0.02166348720310963
29.0,-105.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,-105.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,-105.0,BCC-CSM2-MR_r1i1p1f1,0.0
29.0,-105.0,CNRM-CM6-1_r1i1p1f2,0.16808382294174753
29.0,-105.0,CanESM5_r1i1p1f1,0.0
29.0,-105.0,GFDL-CM4_r1i1p1f1,0.0046740807415886565
29.0,-105.0,GFDL-ESM4_r1i1p1f1,2.0444503151454287
29.0,-105.0,IPSL-CM6A-LR_r1i1p1f1,1.416060476938802e-08
29.0,-105.0,MRI-ESM2-0_r1i1p1f1,0.0
29.0,-103.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,-103.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,-103.0,BCC-CSM2-MR_r1i1p1f1,0.0
29.0,-103.0,CNRM-CM6-1_r1i1p1f2,0.12144664591766319
29.0,-103.0,CanESM5_r1i1p1f1,0.0
29.0,-103.0,GFDL-CM4_r1i1p1f1,-0.1216462288873468
29.0,-103.0,GFDL-ESM4_r1i1p1f1,3.809087366576505
29.0,-103.0,IPSL-CM6A-LR_r1i1p1f1,0.2246832229795187
29.0,-103.0,MRI-ESM2-0_r1i1p1f1,0.0
29.0,-9.0,CNRM-CM6-1_r1i1p1f2,-7.250953542082685e-06
29.0,-9.0,GFDL-CM4_r1i1p1f1,-0.1174476117788593
29.0,-9.0,GFDL-ESM4_r1i1p1f1,-0.23830370171778226
29.0,35.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,35.0,BCC-CSM2-MR_r1i1p1f1,0.0
29.0,35.0,CNRM-CM6-1_r1i1p1f2,0.0
29.0,35.0,CanESM5_r1i1p1f1,0.0
29.0,35.0,GFDL-CM4_r1i1p1f1,0.3834778620159342
29.0,35.0,GFDL-ESM4_r1i1p1f1,-0.567474061685535
29.0,35.0,IPSL-CM6A-LR_r1i1p1f1,0.0
29.0,35.0,MRI-ESM2-0_r1i1p1f1,0.0
29.0,53.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,53.0,ACCESS-ESM1-5_r1i1p1f1,-0.037154543803135064
29.0,53.0,BCC-CSM2-MR_r1i1p1f1,8.901803438588291e-08
29.0,53.0,CNRM-CM6-1_r1i1p1f2,-0.13537997676379704
