,MRBID,RIVER_BASI,mod_u_frac,iv_u_frac,swe_u_frac,tp_u_frac,source_max,source_col
469,2103,INDIGIRKA,0.3515636035701529,0.26156646471840655,0.2524097932758949,0.1344601384355456,mod_u_frac,#4daf4a
470,2906,HAMUN,0.317330303243981,0.3277795659648228,0.20152415813034386,0.15336597266085228,iv_u_frac,#e41a1c
475,2910,LAKE BALKHASH,0.39576204948533333,0.304270793628065,0.19484265830490594,0.10512449858169587,mod_u_frac,#4daf4a
476,2310,IRRAWADDY,0.27749996811969285,0.2732392689125413,0.2922918122188396,0.15696895074892622,swe_u_frac,#984ea3
478,6206,DON,0.3257675990372981,0.31036953692871105,0.2558553226838522,0.10800754135013875,mod_u_frac,#4daf4a
480,6204,DNIEPER,0.3723839975157662,0.3895948532138422,0.17387564282037918,0.06414550645001245,iv_u_frac,#e41a1c
481,2302,BRAHMAPUTRA,0.31338929680926547,0.3101037007508011,0.2552218653787079,0.12128513706122544,mod_u_frac,#4daf4a
483,2105,KOLYMA,0.37994531935188175,0.2519363742649629,0.2981080386474395,0.0700102677357159,mod_u_frac,#4daf4a
484,4405,COLORADO (also COLORADO RIVER),0.25771876968641794,0.34910396370132957,0.2892672566714561,0.10391000994079631,iv_u_frac,#e41a1c
485,4406,COLUMBIA,0.34743445734976436,0.3044032056858006,0.292797972762663,0.05536436420177202,mod_u_frac,#4daf4a
486,4231,RIO GRANDE (also BRAVO),0.29256386696521186,0.35761690317024314,0.2350846613960325,0.11473456846851253,iv_u_frac,#e41a1c
489,2421,MEKONG,0.2571827360360264,0.30465248933769623,0.2288911573005257,0.20927361732575164,iv_u_frac,#e41a1c
490,6202,DANUBE,0.3091404302838226,0.29969403046739485,0.3336249110994113,0.05754062814937125,swe_u_frac,#984ea3
492,4435,YUKON,0.5018510245588617,0.2990452899483053,0.07622671878033034,0.12287696671250276,mod_u_frac,#4daf4a
493,2309,INDUS,0.242369085779133,0.28265780717968353,0.2872241660473826,0.187748940993801,swe_u_frac,#984ea3
494,2320,SHATT AL ARAB,0.24517257471759685,0.3544736197242479,0.19654336728093497,0.20381043827722034,iv_u_frac,#e41a1c
496,2434,YELLOW RIVER,0.3947443908548743,0.3365278323906404,0.12697336867229853,0.1417544080821868,mod_u_frac,#4daf4a
498,2306,GANGES,0.3928192297874472,0.3112487616863488,0.14227501123901123,0.15365699728719273,mod_u_frac,#4daf4a
499,4238,SAINT LAWRENCE (also SAINT-LAURENT),0.3498718695338549,0.2505188706094192,0.35868997690368154,0.04091928295304449,swe_u_frac,#984ea3
501,4125,NELSON,0.3492864459499316,0.31057621741378516,0.27849924822591704,0.06163808841036612,mod_u_frac,#4daf4a
