lat,lon,snw_trend_pct
41.0,115.0,0.07026636097864335
41.0,117.0,-0.014992501582525231
41.0,119.0,-0.018472577492491003
41.0,123.0,-0.33332853056130723
41.0,125.0,-0.7222761264959204
41.0,127.0,-0.6063310622656691
43.0,-123.0,-0.3161013297810245
43.0,-121.0,-0.5590707490216839
43.0,-119.0,-0.9267719036689145
43.0,-117.0,-0.6809476997967089
43.0,-115.0,-1.1172171494486784
43.0,-113.0,-1.048101871077681
43.0,-111.0,-0.4111233116906853
43.0,-109.0,-0.30579868330465254
43.0,-107.0,-0.4163764732728087
43.0,-105.0,-0.1649105245291957
43.0,-103.0,-0.08084937126119851
43.0,-101.0,-0.09920108537374063
43.0,-99.0,-0.01740519417679969
43.0,-97.0,-0.007281654589310354
43.0,-95.0,-0.029832779073093472
43.0,-93.0,-0.17262427752353238
43.0,-91.0,-0.16809980773957037
43.0,-89.0,-0.4109305745299825
43.0,-85.0,-0.6279927756677478
43.0,-75.0,-1.0476087521327881
43.0,-73.0,-1.199838860443408
43.0,1.0,-0.27345817682552287
43.0,21.0,-0.5559703591383164
43.0,23.0,-0.6080520856273508
43.0,25.0,-0.48084865891642664
43.0,27.0,-0.2617623566830007
43.0,43.0,-1.0600731614702725
43.0,45.0,-0.8348215347397108
43.0,55.0,-0.2760919238452027
43.0,57.0,-0.3142252116090062
43.0,59.0,-0.24763542984443818
43.0,61.0,-0.1902136356930093
43.0,63.0,-0.22185216915787692
43.0,65.0,-0.26309261777188236
43.0,67.0,-0.2641613419297965
43.0,69.0,-0.5724618402547779
43.0,71.0,-0.5752576648298398
43.0,73.0,-0.5368309949929391
43.0,75.0,-0.6955753784087443
43.0,79.0,-0.41177681887582995
43.0,81.0,-0.42704533986648596
43.0,83.0,-0.31161496605141753
43.0,85.0,-0.41987574097428426
43.0,87.0,-0.5272633764028719
43.0,89.0,-0.337241844865127
43.0,91.0,-0.1867831745974521
43.0,93.0,-0.13179771453194808
43.0,95.0,-0.5593043501471233
43.0,97.0,-0.5465474832261161
43.0,99.0,0.0662705739349302
43.0,101.0,-0.28259664170551535
43.0,103.0,-0.2220481969307073
43.0,105.0,-0.23834724549092084
43.0,107.0,-0.3591886268196794
43.0,109.0,-0.18626403927766688
43.0,111.0,-0.049344264084682996
43.0,113.0,-0.08283258099104039
43.0,115.0,-0.1345967574770334
43.0,117.0,0.0065664650371232425
43.0,119.0,0.08823474294881573
43.0,121.0,-0.007452354265205788
43.0,123.0,-0.15705947747791382
43.0,125.0,-0.5878693890610511
43.0,127.0,-0.5212175171598609
43.0,129.0,-0.5187324713513737
45.0,-123.0,-0.1821718001772547
45.0,-121.0,-0.43590773336110994
45.0,-119.0,-0.9929844063363358
45.0,-117.0,-1.020725508839076
45.0,-115.0,-0.6474237791485096
45.0,-113.0,-0.5517292711930423
45.0,-111.0,-0.46130399340265227
45.0,-109.0,-0.2404342935400172
45.0,-107.0,-0.198933097904188
45.0,-105.0,-0.1399460384317736
45.0,-103.0,-0.009276210124569594
45.0,-101.0,-0.03444280095306288
45.0,-99.0,-0.02518604338729533
45.0,-97.0,-0.029632196434723302
