product,lat,lon,swe_trend_pct
Ens. Mean,39.0,-93.0,0.03087879486359557
Ens. Mean,39.0,-91.0,-0.11682820877936997
Ens. Mean,39.0,-89.0,-0.20329285848373674
Ens. Mean,39.0,-87.0,-0.0687203859112941
Ens. Mean,39.0,-85.0,0.008979523598009216
Ens. Mean,39.0,-83.0,-0.3254813460520022
Ens. Mean,39.0,-81.0,-0.5425904697879296
Ens. Mean,39.0,-79.0,-0.41458836119522446
Ens. Mean,39.0,-77.0,-0.08764314630790175
Ens. Mean,39.0,-7.0,0.2889731040121754
Ens. Mean,39.0,-5.0,0.08853719260582932
Ens. Mean,39.0,-3.0,1.0539622433758458
Ens. Mean,39.0,-1.0,0.9177095770193984
Ens. Mean,39.0,29.0,-1.4901439132737149
Ens. Mean,39.0,31.0,-1.2423520157771417
Ens. Mean,39.0,33.0,-0.8908720115599966
Ens. Mean,39.0,35.0,-0.9521951450747945
Ens. Mean,39.0,37.0,-1.3296653418187976
Ens. Mean,39.0,39.0,-0.765572872887249
Ens. Mean,39.0,41.0,-0.6705635436601521
Ens. Mean,39.0,43.0,-1.0781682985675993
Ens. Mean,39.0,45.0,-1.2587013572375934
Ens. Mean,39.0,47.0,-1.7547148298623063
Ens. Mean,39.0,55.0,-0.4916428066586932
Ens. Mean,39.0,57.0,-1.1074811553248398
Ens. Mean,39.0,59.0,0.011489181198531023
Ens. Mean,39.0,63.0,-0.2360827506550789
Ens. Mean,39.0,65.0,-0.3865250772781457
Ens. Mean,39.0,67.0,-1.2197551235658106
Ens. Mean,39.0,69.0,-0.9802985830180067
Ens. Mean,39.0,71.0,-0.8779096418247082
Ens. Mean,39.0,73.0,-0.5490648699628903
Ens. Mean,39.0,75.0,-0.18029702092973734
Ens. Mean,39.0,77.0,-0.3448125997617785
Ens. Mean,39.0,79.0,0.24197642981951273
Ens. Mean,39.0,81.0,-0.0006858512490383958
Ens. Mean,39.0,85.0,-0.3921583607328953
Ens. Mean,39.0,87.0,0.2911231647012265
Ens. Mean,39.0,89.0,-0.4041616720905397
Ens. Mean,39.0,91.0,-0.27965506321994743
Ens. Mean,39.0,93.0,0.5988438127959537
Ens. Mean,39.0,95.0,-0.1000963501063695
Ens. Mean,39.0,97.0,-0.24863205184161372
Ens. Mean,39.0,99.0,-0.3955081465158746
Ens. Mean,39.0,101.0,-0.3203698159936536
Ens. Mean,39.0,103.0,-0.15992506520651312
Ens. Mean,39.0,105.0,0.3081850989388296
Ens. Mean,39.0,107.0,0.35884236909277833
Ens. Mean,39.0,109.0,0.15537863396209847
Ens. Mean,39.0,111.0,-1.1884296381617863
Ens. Mean,39.0,113.0,-1.2787200110452204
Ens. Mean,39.0,115.0,-0.8019492939835207
Ens. Mean,41.0,-123.0,-0.37365877432433015
Ens. Mean,41.0,-121.0,-0.44680546402585
Ens. Mean,41.0,-119.0,-0.9220384000056985
Ens. Mean,41.0,-117.0,-0.9302566510222189
Ens. Mean,41.0,-115.0,-0.4438655391756253
Ens. Mean,41.0,-113.0,-0.08284816576235837
Ens. Mean,41.0,-111.0,-0.9333433738479087
Ens. Mean,41.0,-109.0,-0.4673037234373478
Ens. Mean,41.0,-107.0,0.15739042939769807
Ens. Mean,41.0,-105.0,-0.2808560550772016
Ens. Mean,41.0,-103.0,-2.380629836852148
Ens. Mean,41.0,-101.0,-1.5531995589690963
Ens. Mean,41.0,-99.0,-1.1473442841651393
Ens. Mean,41.0,-97.0,-0.41225837989880043
